Date,1M,3M,6M,12M,1Y,2Y,3Y,5Y,7Y,10Y,15Y,20Y,30Y
6/30/2023,5.21771,5.54543,5.76229,6.04143,4.086,3.879,3.613,3.2623,3.0951,3.0053,2.958,2.812,2.538
5/31/2023,5.193,5.51671,5.64571,5.71557,3.8394,3.5027,3.2578,3.024,2.9587,2.9525,2.967,2.852,2.598
4/28/2023,5.06214,5.30243,5.407,5.36629,3.78,3.4767,3.246,3.0535,2.9905,2.9895,3.0052,2.882,2.579
3/31/2023,4.85771,5.19271,5.313,5.30529,3.5748,3.417,3.244,3.045,2.9722,2.958,2.9575,2.821,2.495
2/28/2023,4.66943,4.971,5.26343,5.68157,3.7218,3.775,3.6112,3.3742,3.2717,3.23,3.2088,3.0488,2.708
1/31/2023,4.57429,4.81357,5.10043,5.33757,3.3664,3.292,3.116,2.938,2.8785,2.875,2.854,2.7032,2.351
12/30/2022,4.39157,4.76729,5.13886,5.48214,3.2787,3.395,3.311,3.239,3.2015,3.2028,3.142,2.9306,2.533
11/30/2022,4.142,4.77857,5.20343,5.57157,2.8011,2.858,2.767,2.658,2.6267,2.6559,2.6512,2.463,2.084
10/31/2022,3.80486,4.46029,4.91586,5.44829,2.6425,2.877,2.9075,2.9332,2.963,3.0315,3.067,2.879,2.4997
9/30/2022,3.14271,3.75471,4.232,4.78057,2.486,2.8238,2.894,2.966,3.011,3.075,3.066,2.8815,2.398
8/31/2022,2.55343,3.09971,3.66057,4.22314,1.845,2.179,2.21,2.261,2.316,2.4158,2.4865,2.375,2.052
7/29/2022,2.36229,2.78829,3.32986,3.70729,0.957,1.124,1.189,1.338,1.465,1.646,1.8105,1.757,1.518
6/30/2022,1.78671,2.28514,2.93514,3.619,0.8446,1.3642,1.549,1.791,1.957,2.165,2.348,2.265,1.984
5/31/2022,1.11986,1.61071,2.106,2.74,0.4774,1.0795,1.2917,1.5029,1.649,1.8489,1.999,1.943,1.727
4/29/2022,0.80329,1.33486,1.91071,2.62857,0.261,0.9712,1.2297,1.433,1.556,1.7205,1.8485,1.772,1.488
3/31/2022,0.452,0.96157,1.46986,2.10143,-0.0874,0.535,0.798,0.984,1.0698,1.1953,1.2917,1.23,1.019
2/28/2022,0.24143,0.50429,0.80471,1.288,-0.361,0.026,0.2544,0.4595,0.606,0.79,0.9533,0.922,0.783
1/31/2022,0.10686,0.30886,0.544,0.96229,-0.408,-0.116,0.073,0.235,0.326,0.4603,0.5985,0.617,0.505
12/31/2021,0.10125,0.20913,0.33875,0.58313,-0.484,-0.2958,-0.147,0.017,0.129,0.301,0.49,0.545,0.476
11/30/2021,0.094,0.17325,0.24325,0.38238,-0.4954,-0.3601,-0.2424,-0.1223,-0.0253,0.135,0.2963,0.33,0.2303
10/29/2021,0.0875,0.13225,0.201,0.36113,-0.4425,-0.2236,-0.0751,0.0425,0.14,0.2835,0.4023,0.4113,0.29
9/30/2021,0.08025,0.13013,0.1585,0.23663,-0.5022,-0.4292,-0.3512,-0.1927,-0.0421,0.163,0.398,0.4995,0.482
8/31/2021,0.0825,0.11963,0.14963,0.22788,-0.5157,-0.4803,-0.4348,-0.3312,-0.2132,-0.028,0.212,0.316,0.303
7/30/2021,0.0905,0.11775,0.15313,0.23513,-0.5206,-0.4942,-0.4551,-0.3633,-0.2528,-0.0711,0.1695,0.274,0.2599
6/30/2021,0.1005,0.14575,0.1595,0.24625,-0.5049,-0.4583,-0.3965,-0.2566,-0.1097,0.1002,0.3591,0.4742,0.4752
5/31/2021,0.08588,0.13138,0.171,0.24813,-0.5068,-0.4686,-0.4078,-0.2613,-0.1013,0.1209,0.3839,0.5003,0.5103
4/30/2021,0.10725,0.17638,0.20488,0.28113,-0.5128,-0.4785,-0.4168,-0.263,-0.095,0.137,0.411,0.534,0.55
3/31/2021,0.11113,0.19425,0.20525,0.28313,-0.5152,-0.4972,-0.4518,-0.3142,-0.1563,0.069,0.341,0.4635,0.4827
2/26/2021,0.1185,0.18838,0.203,0.28375,-0.496,-0.4642,-0.4193,-0.2977,-0.1618,0.033,0.27,0.366,0.3583
1/29/2021,0.1195,0.20188,0.22325,0.31113,-0.541,-0.5393,-0.519,-0.4427,-0.346,-0.188,0.022,0.1198,0.119
12/31/2020,0.14388,0.23838,0.25763,0.34188,-0.529,-0.521,-0.506,-0.459,-0.389,-0.2605,-0.0755,0.006,-0.0225
11/30/2020,0.15338,0.22763,0.255,0.33025,-0.517,-0.5186,-0.508,-0.458,-0.384,-0.251,-0.0617,0.0182,-0.0053
10/30/2020,0.14025,0.21575,0.24213,0.33013,-0.5328,-0.5445,-0.539,-0.49,-0.411,-0.278,-0.092,-0.018,-0.054
9/30/2020,0.14825,0.23388,0.25975,0.36013,-0.485,-0.4865,-0.477,-0.4265,-0.357,-0.229,-0.047,0.026,-0.009
8/31/2020,0.15675,0.24088,0.30988,0.44525,-0.442,-0.4313,-0.4185,-0.3615,-0.283,-0.145,0.048,0.129,0.11
7/31/2020,0.15488,0.24875,0.30613,0.44863,-0.418,-0.4309,-0.4293,-0.398,-0.3392,-0.229,-0.0651,-0.0027,-0.051
6/30/2020,0.16225,0.302,0.36925,0.54575,-0.355,-0.3882,-0.3905,-0.3525,-0.2896,-0.175,0.003,0.0751,0.033
5/29/2020,0.1825,0.344,0.50975,0.6735,-0.241,-0.2975,-0.3115,-0.288,-0.2335,-0.131,0.023,0.086,0.035
4/30/2020,0.32963,0.55613,0.7595,0.86463,-0.273,-0.344,-0.3528,-0.336,-0.2693,-0.1595,-0.007,0.036,-0.058
3/31/2020,0.99288,1.4505,1.17525,0.9975,-0.3173,-0.323,-0.3083,-0.2345,-0.149,-0.02,0.1645,0.228,0.176
2/28/2020,1.51525,1.46275,1.39725,1.3815,-0.419,-0.4335,-0.4205,-0.3715,-0.307,-0.18,0.011,0.1196,0.132
1/31/2020,1.66188,1.75113,1.74525,1.80663,-0.3661,-0.372,-0.3555,-0.298,-0.2125,-0.0542,0.178,0.3045,0.3362
12/31/2019,1.7625,1.90838,1.91213,1.99625,-0.3212,-0.2915,-0.2379,-0.1105,0.0175,0.2115,0.4701,0.6042,0.6211
11/29/2019,1.69713,1.9055,1.89688,1.95213,-0.3455,-0.3375,-0.308,-0.2289,-0.1235,0.0542,0.2978,0.4232,0.4557
10/31/2019,1.78488,1.90225,1.91625,1.95538,-0.361,-0.3647,-0.3413,-0.2616,-0.1561,0.0236,0.268,0.3949,0.4289
9/30/2019,2.01563,2.08513,2.05563,2.03213,-0.4247,-0.453,-0.4535,-0.4075,-0.3188,-0.1516,0.0764,0.1885,0.2214
8/30/2019,2.089,2.13763,2.0365,1.974,-0.497,-0.5567,-0.5722,-0.527,-0.4381,-0.2716,-0.0583,0.052,0.1
7/31/2019,2.22425,2.26563,2.20688,2.18863,-0.4209,-0.449,-0.4328,-0.3435,-0.211,0.009,0.299,0.4575,0.5275
6/28/2019,2.398,2.31988,2.2005,2.17813,-0.363,-0.3835,-0.3555,-0.2295,-0.0702,0.1786,0.4895,0.652,0.722
5/31/2019,2.4305,2.5025,2.51663,2.51025,-0.2774,-0.2757,-0.2313,-0.096,0.0707,0.335,0.666,0.8345,0.9176
4/30/2019,2.4805,2.57563,2.622,2.71688,-0.2308,-0.1922,-0.1293,0.0382,0.229,0.5118,0.8561,1.025,1.101
3/29/2019,2.4945,2.59975,2.6595,2.71063,-0.2297,-0.2012,-0.1398,0.0136,0.1938,0.472,0.8155,0.9825,1.066
2/28/2019,2.49038,2.61513,2.68575,2.86488,-0.21,-0.138,-0.0431,0.1694,0.3881,0.7038,1.0615,1.227,1.295
1/31/2019,2.51375,2.7375,2.7995,2.9835,-0.2237,-0.1657,-0.0785,0.1227,0.3475,0.6614,1.01,1.171,1.229
12/31/2018,2.50269,2.80763,2.87563,3.00544,-0.2322,-0.1741,-0.077,0.1979,0.469,0.812,1.168,1.324,1.3795
11/30/2018,2.34694,2.73613,2.89463,3.12025,-0.24,-0.1525,-0.0185,0.2745,0.5439,0.8799,1.2369,1.3965,1.4585
10/31/2018,2.30688,2.5585,2.80013,3.08375,-0.2397,-0.1216,0.038,0.3525,0.626,0.957,1.301,1.4555,1.507
9/28/2018,2.26056,2.39838,2.60388,2.91863,-0.2423,-0.1065,0.0675,0.392,0.663,0.9867,1.3247,1.4805,1.5365
8/31/2018,2.11375,2.32075,2.53563,2.84,-0.2468,-0.1485,-0.0112,0.2734,0.5375,0.8699,1.228,1.3945,1.468
7/31/2018,2.08138,2.34856,2.5305,2.82781,-0.253,-0.1445,0.014,0.332,0.6068,0.9415,1.292,1.452,1.5202
6/29/2018,2.09025,2.33575,2.50125,2.76406,-0.2538,-0.175,-0.0363,0.2628,0.5388,0.8755,1.2255,1.385,1.4555
5/31/2018,2.0007,2.32125,2.47375,2.71813,-0.231,-0.1367,0.0008,0.3005,0.5715,0.901,1.2475,1.4045,1.4657
4/30/2018,1.90932,2.36294,2.51175,2.77004,-0.2571,-0.1434,0.034,0.3865,0.6695,0.9905,1.324,1.474,1.521
3/30/2018,1.88313,2.31175,2.4524,2.66263,-0.2614,-0.157,0.0172,0.3642,0.6435,0.963,1.299,1.4422,1.484
