Date,EUSV0A5 BGN Curncy,EUSV0A10 Curncy,EUSV0C5 Curncy,EUSV0C10 Curncy,EUSV0F5 Curncy,EUSV0F10 Curncy,EUSV015 Curncy  (L1),EUSV0110 Curncy  (L1),EUSV025 Curncy  (R1),EUSV0210 Curncy  (R1),EUSV055 Curncy  (R1),EUSV0510 Curncy  (R1),EUSV105 Curncy,EUSV1010 Curncy
6/30/2023,34,31.6,33.59,32.08,34.27,32.74,35.93,33.77,38.07,35.11,34.69,32.11,29.67,29.84
5/31/2023,37.35,35.3,37.32,34.6,38.62,35.3,40.24,36.22,40.48,36.55,34.61,31.71,28.32,28.59
4/28/2023,38.13,33.24,39.75,34.61,40.46,35.55,42.25,36.48,41.69,36.18,34.93,31.32,28.15,28.77
3/31/2023,44.82,40.04,42.81,38.78,40.78,37.05,40.12,36.77,39.61,36.22,34.89,31.95,28.32,29.74
2/28/2023,34.66,34.1,34.48,33.41,33.41,32.82,33.41,32.82,34.49,33.02,31.46,29.52,26.79,28.23
1/31/2023,38.65,39.99,36.89,37.58,36.23,36.63,35.51,35.59,36.88,35.35,33.29,31.41,29.59,31.72
12/30/2022,37.91,36.37,39.33,38.65,38.34,37.67,39.11,37.88,39.17,37.29,33.68,32.7,31.37,33.42
11/30/2022,48.3,46.72,49.23,47.94,49.55,48.82,51.01,49.44,51.16,47.94,43.64,40.67,37.53,40.84
10/31/2022,52.32,51.95,51.33,50.08,49.64,49.25,47.52,46.86,45.07,43.13,37.83,35.56,31.92,36.05
9/30/2022,56.82,52.13,55.74,52.44,54.57,50.29,52.05,49.04,49.72,45.14,39.36,36.62,34.21,37.66
8/31/2022,78.19,61.34,70.68,56.86,66.14,53.87,59.75,49.78,53.59,43.84,40.5,35.81,33.63,35.26
7/29/2022,105.79,70.84,99.48,67.95,93.87,66.1,81.72,60.44,67.91,53.5,46.88,42.13,37.77,41.85
6/30/2022,86.87,64.32,78.68,57.32,68.46,52.04,58.08,46.65,50.16,41.25,37.08,32.73,29.08,30.99
5/31/2022,78.79,55.81,68.42,50.83,61.31,48.53,55.43,45.35,50.78,42.19,40.11,35.85,31.8,34.11
4/29/2022,77.21,60.23,74.7,60.22,68.55,56.86,63.7,53.15,59.54,50.33,46.73,41.81,36.88,41.46
3/31/2022,105.95,75.28,98.13,70.25,91.91,67.28,83.15,62.57,80.58,59.75,68.79,55.19,54.07,60.64
2/28/2022,181.5701,94.1,159.82,89.46,139.39,85.62,119.62,80.11,104.86,73.54,75.84,63.99,64.62,74.62
1/31/2022,252.63,126.62,238.92,130.56,215.08,123.72,186.33,115.25,167.14,106.61,135.46,95.33,101.42,140.43
12/31/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/30/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/29/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/30/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/31/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/30/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/30/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/31/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/30/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/31/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/26/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/29/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/31/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/31/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/31/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/29/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/31/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/28/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/31/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/31/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/29/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/31/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/30/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/30/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/31/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/28/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/31/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/30/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/29/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/28/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/31/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
